Date,Strategy1,Strategy2,Index
1/4/2005,-0.018359358,-0.007493775,-0.008458841
1/5/2005,0.006320204,0.002827204,0.00380774
1/6/2005,0.005813569,0.014677165,0.006177062
1/7/2005,-0.011000909,-0.001613262,-0.002760553
1/10/2005,-0.004177804,-0.002148906,-0.004544797
1/11/2005,0.010968289,-0.007869351,-0.007284122
1/12/2005,0.014682488,0.000105565,0.003491095
1/13/2005,0.009229965,0.008098903,0.004270566
1/14/2005,0.009682062,-0.003070353,0.005372552
1/17/2005,-0.006938418,-0.003012776,-0.004704232
1/18/2005,0.001893637,-0.002505109,-0.001160886
1/19/2005,-0.006571516,-0.008283384,-0.003631986
1/20/2005,0.002727557,0.002392914,0.000520747
1/21/2005,0.012691595,-0.000985557,0.00191535
1/24/2005,0.006696468,0.006509297,0.006379221
1/25/2005,-0.005235479,-0.000881057,0.000805253
1/26/2005,0.001180975,0.004115504,0.001299746
1/27/2005,-0.007801132,-0.004623608,-0.004244447
1/28/2005,0.001378952,0.004540397,0.004034928
1/31/2005,0.018355089,0.005900239,0.011108134
2/1/2005,0.01213547,-0.001150145,0.002038237
2/2/2005,-0.008645787,-0.002520589,-0.001606932
2/3/2005,0.004664195,0.00836811,0.006764053
2/4/2005,0.013022483,0.011083941,0.007750683
2/7/2005,0.010575845,-0.001607095,0.003152737
2/8/2005,-0.010487047,-0.00445016,-0.001020919
2/9/2005,-0.010151907,-0.000676825,0.001923693
2/10/2005,0.003887746,0.008593983,0.00884
2/11/2005,0.002832318,0.001637876,-0.000475794
2/14/2005,-0.00503562,0.001522273,0.003391646
2/15/2005,0.001405324,-0.006343746,-0.001126727
2/16/2005,0.013443606,0.000284568,0.000831156
2/17/2005,-0.001623194,0.003802245,-3.95E-05
2/18/2005,-0.00974775,0.006197665,0.000711856
2/21/2005,0.004272492,-0.006499376,-0.005512962
2/22/2005,-0.012428434,-0.01055022,-0.008821952
2/23/2005,0.004820074,9.83E-05,-0.003287561
2/24/2005,-0.003108682,0.003131091,0.006978942
2/25/2005,-0.009818821,-0.010542246,-0.007649597
2/28/2005,0.000297102,0.006349027,0.006440576
3/1/2005,0.00771325,-0.014358088,-0.001539846
3/2/2005,0.015221225,-0.000466696,0.004406345
3/3/2005,0.002560095,0.004611671,0.00428731
3/4/2005,-0.005812945,0.00051488,-0.001806882
3/7/2005,3.29E-05,-0.008495266,-0.003242362
3/8/2005,-0.008383593,0.001491856,-0.002953561
3/9/2005,-0.020006377,-0.001437291,-0.006805308
3/10/2005,-0.007266625,0.004492412,0.004010399
3/11/2005,-0.006515665,0.004036413,-0.001405058
3/14/2005,0.005353176,0.006747972,0.005065327
3/15/2005,-0.01740136,-0.012335618,-0.012519499
3/16/2005,0.002712612,-0.002980293,-0.003139177
3/17/2005,-0.000826985,0.002067542,0.000243798
3/18/2005,-0.004028357,0.000486394,0.002071781
3/21/2005,-0.003210172,0.00362299,0.000770244
3/22/2005,-0.010624781,-0.00253175,-0.005448322
3/23/2005,-0.004390849,0.002487395,0.002464158
3/24/2005,-0.01387626,-0.005862082,-0.000711021
3/29/2005,-0.007601999,-0.005393856,-0.003720268
3/30/2005,-0.004893616,-0.004558679,-0.001285531
3/31/2005,-0.002710299,0.004365286,0.004004577
4/1/2005,-0.019363468,-0.003576129,-0.003520554
4/4/2005,0.016129377,0.010512116,0.009434926
4/5/2005,-0.004186373,0.000984515,0.000910397
4/6/2005,0.001191137,0.013079206,0.005982941
4/7/2005,0.011735048,0.005022561,0.0013261
4/8/2005,-0.002123831,0.00025541,-0.002086845
4/11/2005,0.00447588,-0.002880634,-0.0054291
4/12/2005,-0.000909809,0.00474123,0.002951761
4/13/2005,-0.002465859,-0.001939159,-0.003104338
4/14/2005,-0.009618435,-0.011573363,-0.010878796
4/15/2005,-0.00932268,-0.019339958,-0.01318587
4/18/2005,0.002514315,0.004059021,0.005904166
4/19/2005,0.001414853,-0.011094907,-0.006919845
4/20/2005,-0.01153681,0.001833442,-0.000497719
4/21/2005,-0.010547559,0.003598708,0.006162337
4/22/2005,0.014554352,0.002237385,0.003216959
4/25/2005,-0.003587352,-0.014488404,-0.003987749
4/26/2005,-0.013307173,-0.012290551,-0.011577753
4/27/2005,0.017517326,-0.003006806,0.000167036
4/28/2005,-0.00422833,-0.002572678,0.002400735
4/29/2005,0.018929332,0.007766134,0.012391445
5/3/2005,0.006406377,0.011141937,0.004381634
